keyword,tier,category,active,notes,id,createdAt,updatedAt
better off dead,C,SELF-HARM / SUICIDE,true,,1,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
can't go on,C,SELF-HARM / SUICIDE,true,,2,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
cannot go on,C,SELF-HARM / SUICIDE,true,,3,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
cut myself,C,SELF-HARM / SUICIDE,true,,4,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
cutting myself,C,SELF-HARM / SUICIDE,true,,5,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
do not want to live,C,SELF-HARM / SUICIDE,true,,6,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
don't want to live,C,SELF-HARM / SUICIDE,true,,7,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
end it all,C,SELF-HARM / SUICIDE,true,,8,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
end my life,C,SELF-HARM / SUICIDE,true,,9,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
ending my life,C,SELF-HARM / SUICIDE,true,,10,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
goodbye forever,C,SELF-HARM / SUICIDE,true,,11,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
harm myself,C,SELF-HARM / SUICIDE,true,,12,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
harming myself,C,SELF-HARM / SUICIDE,true,,13,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
hurt myself,C,SELF-HARM / SUICIDE,true,,14,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
kill myself,C,SELF-HARM / SUICIDE,true,,15,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
killing myself,C,SELF-HARM / SUICIDE,true,,16,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
no reason to live,C,SELF-HARM / SUICIDE,true,,17,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
nothing to live for,C,SELF-HARM / SUICIDE,true,,18,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
overdose,C,SELF-HARM / SUICIDE,true,,19,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
overdosed,C,SELF-HARM / SUICIDE,true,,20,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
overdoses,C,SELF-HARM / SUICIDE,true,,21,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
overdosing,C,SELF-HARM / SUICIDE,true,,22,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
