project_key,zendesk_domain,payments_api_base_url,ticket_custom_status_open_id,ticket_custom_status_pending_id,ticket_custom_status_solved_id,ticket_custom_field_automation_label_id,ticket_field_contact_form_classification_id,macro_password_account_info_id,macro_cancellation_customer_claims_id,macro_cancellation_cancel_subs_id,macro_account_deletion_id,slack_automation_errors_channel_id,classification_model_id,classification_confidence_threshold,category_value_password_account_info,category_value_cancellation_subscription,category_value_cancellation_account_removal,macro_thanks_reply_id,message_limit_threshold,ticket_field_chatbot_classification_id,ticket_field_language_id,ticket_custom_status_chatbot_automated_id,hmac_key_id,slack_dev_error_channel_id,ticket_custom_field_category,refund_macro_trial_id,refund_macro_monthly_id,refund_macro_monthly_legacy_id,refund_macro_30day_last_charge_id,refund_macro_30day_two_charges_id,refund_macro_upsell_id,refund_macro_rejection_id,refund_macro_rejection_alt_id,refund_value_trial,refund_value_monthly,refund_value_monthly_alt,refund_value_30day_last_charge,refund_value_30day_last_charge_alt,refund_value_30day_two_charges,refund_value_upsell,refund_value_rejection,macro_cancellation_confirmation,macro_refund_confirmation,macro_single_refund_complaint,macro_double_refund_complaint,macro_password_account_info_multiple,refund_macro_monthly_and_trial_id,macro_cancellation_failed_payment_id,ticket_field_allow_automation,refund_macro_no_upsell_to_refund_id,automation_agent_id,dedupe_merge_enabled,spam_check_enabled,spam_confidence_threshold,spam_model_id,category_value_spam_marketing,category_value_duplicate_contact,language_value_english,id,createdAt,updatedAt
lovestyle_dev,efuturechatbot,https://dev.lovestyle.co,33825964519453,33825990672413,33825964522269,35908529462429,34358154126749,33859078320797,33859110196637,33859128356125,35051835189149,C0ABPEER1MF,ft:gpt-4.1-2025-04-14:futuremedia:fine-tuning-dataset-5:D8ZgqXxP,0.995,password_and_account_info,cancellation___subscription,cancellation___account_removal,36110607160221,7,33841769865629,33825960843421,33841743978781,n8n-dev,C0AUABW5ZPZ,33838126178205,34213774061853,34213716775197,28084761127581,34213748924061,34213794027677,34213857275293,34213922269469,34327821656477,refund___within_30_days__trial_,refund___within_30_days__monthly,refund___within_30_days__monthly_,refund___30_day_policy__last_charge_only,refund___30_day_policy__last_charge_only_,refund___30_day_policy__two_last_charges_,refund___upsell,refund___rejection,35699873570461,35699864018717,36110656647069,36110709840285,36702084197149,36714244645917,,,,,true,true,0.91,gpt-5.4-nano,spam,duplicate_contact,en,2,2026-05-13T19:59:04.985Z,2026-08-28T09:23:45.884Z
lovestyle_prod,lovestylehelp,https://lovestyle.co,24200859183260,24200840155164,24200840157980,27717990323356,26136963437340,24546896701084,26143378796060,24546915279260,26505190879516,C0ABPEER1MF,ft:gpt-4.1-2025-04-14:futuremedia:fine-tuning-dataset-5:D8ZgqXxP,0.995,password_and_account_info,cancellation___subscription,cancellation___account_removal,24547004031388,7,26136966521244,24286144941340,26136975342748,n8n-prod,,24285840352924,26043992552348,26043945866268,26043945866268,26043963752220,26043989469084,,24547791844764,,refund__within_30_days__trial_,refund__within_30_days__monthly_,refund__within_30_days__monthly_,refund__30_day_policy__last_charge_only_,refund__30_day_policy__last_charge_only_,refund__30_day_policy__two_last_charges_,refund___upsell,refund__rejection,27378358491164,27378317193500,24547029040412,27378392799900,28031628085660,28019198740124,24546952679964,29856734516124,,26047279336732,true,true,0.91,gpt-5.4-nano,spam,duplicate_contact,en,3,2026-05-26T08:50:53.621Z,2026-08-28T09:18:32.316Z
personality_prod,personalitytest,https://personality.co,19265567019421,19265589362461,19265589367453,36384727469341,,36393268294045,33761112242717,36393259331485,36386252283933,C0ABPEER1MF,ft:gpt-4.1-2025-04-14:futuremedia:fine-tuning-dataset-5:D8ZgqXxP,0.995,password_and_account_info,cancellation___subscription,cancellation___account_removal,24561600797981,7,,21550748797725,,n8n-prod,,21549590739229,35702507174941,35702446060445,35702446060445,35702528266653,35702549088285,35702562364189,21549307767197,21549307767197,refund__within_30_days__trial_,refund__within_30_days__monthly,refund__within_30_days__monthly,refund__30_day_policy__last_charge_only,refund__30_day_policy__last_charge_only,refund__30_day_policy__two_last_charges,refund___upsell,refund__rejection,35941004569885,35941175214877,36975164769949,35941370729117,36686381694493,36689191589533,23377393472285,37511489879325,37456065804445,35830706218397,true,true,0.91,gpt-5.4-nano,spam,duplicate_contact,en,4,2026-05-27T07:00:38.748Z,2026-08-27T20:36:56.912Z
mindspree_prod,mindspree,https://mindspree.io,33042522010653,33042536624541,33042536638237,37611373150493,,37107700183325,37107925837597,37107900710813,35783121540253,,,0.995,password_and_account_info,cancellation___subscription,cancellation___account_removal,35500041539613,7,,34842181901341,,n8n-prod,,33051460046877,37108194257821,37108160738717,37108160738717,37108183905693,37108976047389,37108985099805,35098554060573,,refund___within_30_days__trial_,refund___within_30_days__monthly_,refund___within_30_days__monthly_,refund___30_day_policy__last_charge_only_,refund___30_day_policy__last_charge_only_,refund___30_day_policy__two_last_charges_,refund___upsells,refund___rejection,37612416909981,37612049026461,37108000549917,37107955100445,37107726805917,37108157609501,37612670933149,37611465827101,37612167372061,37071159303069,true,true,0.91,gpt-5.4-nano,spam,duplicate_contact,english,5,2026-07-14T16:09:24.757Z,2026-08-28T09:18:35.150Z
myimage_prod,myimage,https://myimage.io,28888354146077,28888367363741,28888367367837,37623743877661,0,37582416314781,37582475232925,37582443267741,37782560492829,,,0.995,password_and_account_info,cancellation___subscription,cancellation___account_removal,37582534070813,7,33841367124637,28917124343709,33841549546141,n8n-prod,,28917079682077,37582573527453,37582562732957,37582562732957,37582577885469,37582660424989,37582668292637,37584129345181,37584129345181,refund___within_30_days__trial_,refund___within_30_days__monthly_,refund___within_30_days__monthly_,refund___30_day_policy__last_charge_only_,refund___30_day_policy__last_charge_only_,refund___30_day_policy__two_last_charges_,refund___upsells,refund___rejection,37782617650973,37582543881245,37582499256989,37582461126813,37582436553629,37582540579101,34023005496349,37623749784349,37582552300957,37162574847133,true,true,0.91,gpt-5.4-nano,spam,duplicate_contact,english,6,2026-07-21T13:48:23.906Z,2026-08-27T20:36:56.705Z
resumewise_prod,resumewise,https://resumewise.com,26512433198482,26512480886034,26512480889106,37246518297490,0,37245923476242,37246008369810,37245930070546,27784313141138,,,0.995,password_and_account_info,cancellation___subscription,cancellation___account_removal,37246128825362,7,0,26520446410002,0,n8n-prod,,26520399930514,37246332600210,37246242499602,37246242499602,37246246453138,37246397257490,37246437614738,37246454982162,37246454982162,refund__within_30_days__trial_,refund__within_30_days__monthly_,refund__within_30_days__monthly_,refund__30_day_policy__last_charge_only_,refund__30_day_policy__last_charge_only_,refund__30_day_policy__two_last_charges_,refund__upsell,refund__rejection,37245963432978,37246172990610,37246068007058,37246036292370,37245938423826,37246212141970,37246138242194,37246467541138,37560839291410,36731060967442,true,true,0.91,gpt-5.4-nano,spam,duplicate_contact,en,7,2026-07-27T08:30:36.039Z,2026-08-28T09:18:40.253Z
pdfhelp_prod,pdfhelphelp,https://pdfhelp.com,28771514777117,28771514778653,28771499183261,37625292790045,0,37624711505949,37624841271197,37624780464029,29184524976797,,,0.995,password_and_account_info,cancellation___subscription,cancellation___account_removal,37625042461725,7,0,28918347337245,0,n8n-prod,,28918261504285,37625159065245,37625086055709,37625086055709,37625149321373,37625197232413,37625186066717,37625204827549,37625204827549,refund__within_30_days__trial_,refund__within_30_days__monthly_,refund__within_30_days__monthly_,refund__30_day_policy__last_charge_only_,refund__30_day_policy__last_charge_only_,refund__30_day_policy__two_last_charges_,refund__upsell,refund__rejection,37624789151773,37625062872349,37624916654621,37624834686365,37624714305053,37625066718877,37625003212317,37625275451677,37945348647197,37162734374173,true,true,0.91,gpt-5.4-nano,spam,duplicate_contact,en,8,2026-07-28T09:14:20.702Z,2026-08-27T20:36:56.844Z
unicopy_prod,unicopy,https://unicopy.ai,23208785232028,23208785235740,23208785241884,28919370448924,0,28919019328412,28919108723228,28919057413404,27144305241116,,,0.995,password_and_account_info,cancellation___subscription,cancellation___account_removal,28919178471196,7,0,24672651725980,0,n8n-prod,,23231033713948,28919247500188,28919241226396,28919241226396,28919287416732,28919295176220,28919317758876,28919306571804,28919306571804,refund__within_30_days__trial_,refund__within_30_days__monthly_,refund__within_30_days__monthly_,refund__30_day_policy__last_charge_only_,refund__30_day_policy__last_charge_only_,refund__30_day_policy__two_last_charges_,refund__upsell,refund__rejection,28919089978908,28919200643100,28919102605980,28919093651740,28919082884124,28919203789724,28919161008796,28919341825692,29235725623068,28473019150364,true,true,0.91,gpt-5.4-nano,spam,duplicate_contact,en,9,2026-07-28T09:31:07.496Z,2026-08-28T09:18:42.448Z
realchecker_prod,realchecker,https://realchecker.com,28269879280156,28269886364572,28269886369308,28915234661788,0,28888270762908,28888312212252,28888290063900,28871121684636,,,0.995,password_and_account_info,cancellation___subscription,cancellation___account_removal,28888338161820,7,0,28477066913436,0,n8n-prod,,28477106670620,28888461814300,28888385012124,28888385012124,28888430518172,28888464381852,28888466155804,28888467804188,28888467804188,refund___within_30_days__trial_,refund___within_30_days__monthly_,refund___within_30_days__monthly_,refund___30_day_policy__last_charge_only_,refund___30_day_policy__last_charge_only_,refund___30_day_policy__two_last_charges_,refund___upsells,refund___rejection,29258965148316,28888395938460,28888315899036,28888300369564,28888280364316,28888343354524,28872255166876,28915182980508,28888371924636,28472849511836,true,true,0.91,gpt-5.4-nano,spam,duplicate_contact,english,10,2026-07-28T10:00:07.799Z,2026-08-28T09:18:45.414Z
myqrcode_prod,myqrcode,,,,,,,,,,,,,0.995,,,,,7,,,,n8n-prod,,8826459326877,,,,,,,,,,,,,,,,,,,,,,,,,,38148361844637,,,0.91,gpt-5.4-nano,spam,duplicate_contact,,11,2026-08-10T21:18:00.956Z,2026-08-27T20:36:56.774Z
